journey,conversion_flg,counts
viewed_favourite_store > Menu > added_item > viewed_favourite_store > Menu > added_item > CheckoutViewController,true,37
viewed_favourite_store > Appetizers > added_item > Drinks > added_item > CheckoutViewController,true,37
Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,37
Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,36
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,36
viewed_favourite_store > Menu > added_item > Dessert > added_item > CheckoutViewController,true,36
Dessert > added_item > CheckoutActivity,true,35
viewed_favourite_store > Menu > added_item > Menu > added_item > Drinks > added_item > CheckoutViewController,true,34
added_item > Sauces & Sides > added_item > CheckoutViewController,true,33
Appetizers > Menu > added_item > CheckoutViewController,true,33
viewed_favourite_store > Quick_Reorder > CheckoutViewController,true,33
viewed_favourite_store > Kids Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,32
Drinks > added_item > CheckoutActivity,true,31
viewed_favourite_store > Menu > added_item > Menu Extras > added_item > CheckoutViewController,true,31
added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,30
viewed_favourite_store > added_item > Dessert > added_item > CheckoutViewController,true,30
Menu > Appetizers > added_item > CheckoutActivity,true,30
viewed_favourite_store > Appetizers > added_item > Kids Menu > added_item > CheckoutViewController,true,30
Menu > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,30
Appetizers > added_item > Sauces & Sides > added_item > CheckoutViewController,true,29
viewed_favourite_store > added_item > viewed_favourite_store > added_item > CheckoutViewController,true,29
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > CheckoutViewController,true,29
Menu > added_item > Menu > Appetizers > added_item > CheckoutActivity,true,28
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,28
Menu > added_item > Menu > added_item > Drinks > added_item > CheckoutViewController,true,28
Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,28
Appetizers > added_item > Sauces & Sides > added_item > CheckoutActivity,true,28
Menu > added_item > Menu > Appetizers > added_item > CheckoutViewController,true,27
added_item > Kids Menu > added_item > CheckoutViewController,true,27
Menu > Appetizers > Menu > added_item > CheckoutActivity,true,26
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,26
viewed_favourite_store > Menu > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,25
viewed_favourite_store > Menu > added_item > Menu > Appetizers > added_item > CheckoutViewController,true,25
Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,25
added_item > Dessert > added_item > CheckoutViewController,true,25
viewed_favourite_store > Menu > added_item > Menu > added_item > Dessert > added_item > CheckoutViewController,true,25
viewed_favourite_store > Menu > added_item > Appetizers > Menu > added_item > CheckoutViewController,true,25
added_item > Drinks > CheckoutViewController,true,25
Menu > added_item > Kids Menu > added_item > CheckoutActivity,true,25
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,25
Menu > added_item > Appetizers > CheckoutActivity,true,25
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,24
viewed_favourite_store > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,24
viewed_favourite_store > Appetizers > Menu > added_item > Menu > added_item > CheckoutViewController,true,24
viewed_favourite_store > Menu > Appetizers > Menu > added_item > CheckoutViewController,true,24
Appetizers > added_item > Kids Menu > added_item > CheckoutViewController,true,24
Appetizers > added_item > Menu > added_item > Appetizers > added_item > CheckoutActivity,true,24
Appetizers > added_item > Drinks > added_item > CheckoutActivity,true,24
viewed_favourite_store > added_item > Menu > CheckoutViewController,true,24
viewed_favourite_store > added_item > Sauces & Sides > added_item > CheckoutViewController,true,24
added_item > Sauces & Sides > added_item > CheckoutActivity,true,23
Menu > added_item > Menu > added_item > Sauces & Sides > added_item > CheckoutActivity,true,23
Appetizers > Menu > added_item > Menu > added_item > CheckoutActivity,true,23
Menu > Appetizers > added_item > CheckoutViewController,true,22
viewed_favourite_store > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,22
added_item > Kids Menu > added_item > CheckoutActivity,true,22
Quick_Reorder > viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,22
added_item > Drinks > added_item > Drinks > added_item > CheckoutViewController,true,22
Menu > added_item > Menu > CheckoutActivity,true,22
Quick_Reorder > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,22
Appetizers > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,21
Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutActivity,true,21
Menu > added_item > Menu > added_item > Appetizers > CheckoutViewController,true,21
viewed_favourite_store > Appetizers > added_item > Menu > Appetizers > added_item > CheckoutViewController,true,21
Quick_Reorder > viewed_favourite_store > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,21
viewed_favourite_store > Menu > added_item > Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,21
Appetizers > added_item > Menu > added_item > Drinks > added_item > CheckoutActivity,true,21
Menu > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,21
Menu > added_item > Menu > added_item > Dessert > added_item > CheckoutActivity,true,21
Kids Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,20
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Drinks > added_item > CheckoutViewController,true,20
viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutViewController,true,20
Menu > added_item > Menu > added_item > Appetizers > CheckoutActivity,true,20
Menu > Appetizers > Menu > added_item > CheckoutViewController,true,20
viewed_favourite_store > Menu > added_item > Menu > added_item > viewed_favourite_store > Menu > added_item > Menu > added_item > CheckoutViewController,true,20
viewed_favourite_store > Appetizers > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,19
Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,19
Menu > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,19
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,19
viewed_favourite_store > Menu > Appetizers > added_item > Menu > added_item > CheckoutViewController,true,19
Menu > added_item > Menu > added_item > Dessert > added_item > CheckoutViewController,true,19
viewed_favourite_store > added_item > Drinks > CheckoutViewController,true,19
viewed_favourite_store > Menu > viewed_favourite_store > Menu > added_item > CheckoutViewController,true,19
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Sauces & Sides > added_item > CheckoutViewController,true,19
Menu > added_item > Appetizers > Menu > added_item > CheckoutViewController,true,19
Menu > added_item > Menu Extras > added_item > CheckoutViewController,true,18
viewed_favourite_store > Menu > added_item > Menu > Appetizers > Menu > added_item > CheckoutViewController,true,18
viewed_favourite_store > Drinks > added_item > CheckoutViewController,true,18
