journey,conversion_flg,counts
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,46
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,45
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,43
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees,false,42
ProductListActivity > PV: Drinks,false,42
StoreTableViewController > GuidedMenuViewController > PV: Dessert,false,41
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController,false,41
StoreTableViewController > GuidedMenuViewController > StoreTableViewController,false,41
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,40
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,40
ProductListActivity > PV: Entrees > ProductListActivity > PV: Appetizers,false,40
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity,false,40
ProductListActivity > PV: Appetizers > ProductListActivity > PV: Entrees,false,40
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees,false,39
ProductListActivity > PV: Kids Menu,false,39
StoreTableViewController > GuidedMenuViewController > PV: Kids Menu,false,37
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees,false,37
ProductListActivity > PV: Drinks > ProductListActivity,false,37
ProductActivity > ProductListActivity > PV: Dessert > ProductActivity > CheckoutActivity,false,37
StoreTableViewController > GuidedMenuViewController > ProductViewController > GuidedMenuViewController,false,37
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,36
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees,false,36
GuidedMenuViewController > PV: Menu Extras,false,36
ProductListActivity > ProductActivity,false,35
ProductListActivity > PV: Entrees > ProductActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,35
StoreTableViewController > GuidedMenuViewController > ProductViewController > GuestCheckoutTableViewController,false,35
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController,false,35
ProductListActivity > PV: Appetizers > ProductListActivity > PV: Entrees > ProductListActivity,false,34
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity,false,34
GuidedMenuViewController > PV: Appetizers > ProductViewController > BasketViewController,false,34
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuestCheckoutTableViewController,false,33
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,33
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Appetizers,false,32
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees,false,32
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,32
PV: Entrees > CheckoutActivity,false,32
ProductActivity > ProductListActivity > CheckoutActivity,false,31
ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > CheckoutActivity,false,31
ProductListActivity > PV: Appetizers > ProductListActivity > PV: Appetizers,false,31
StoreTableViewController > GuidedMenuViewController > PV: Menu Extras,false,30
StoreTableViewController > GuidedMenuViewController > PV: Drinks,false,29
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuestCheckoutTableViewController,false,29
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,29
ProductListActivity > PV:  Menu > ProductListActivity,false,28
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuestCheckoutTableViewController,false,27
GuidedMenuViewController > PV: Kids Menu > GuidedMenuViewController,false,27
ProductActivity > ProductListActivity,false,27
