journey,conversion_flg,counts
Menu > Sauces & Sides > Appetizers > Menu,false,18
Appetizers > added_item > Appetizers > added_item > Menu > added_item,false,18
Appetizers > Menu > Menu Extras,false,18
viewed_favourite_store > Kids Menu > Appetizers,false,17
Appetizers > added_item > Drinks > added_item,false,17
Drinks > Menu > Appetizers,false,17
added_item > Sauces & Sides > added_item,false,17
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item,false,17
Menu > added_item > Appetizers > Menu,false,17
viewed_favourite_store > Menu > Appetizers > Menu > Appetizers,false,17
Sauces & Sides > Menu > Appetizers,false,17
Appetizers > added_item > Appetizers > Menu,false,17
viewed_favourite_store > Sauces & Sides > Menu,false,17
Menu > added_item > Appetizers > added_item > Appetizers > added_item,false,16
Family Value Bundles > added_item,false,16
added_item > Dessert,false,16
Menu > added_item > Sauces & Sides,false,16
added_item > Drinks,false,16
Dessert > Drinks,false,16
Appetizers > added_item > Appetizers > added_item > Appetizers,false,16
Menu > Appetizers > added_item > Appetizers > added_item,false,16
viewed_favourite_store > Dessert > Menu,false,16
added_item > Sauces & Sides,false,15
Dessert > added_item > Dessert > added_item,false,15
Quick_Reorder > viewed_favourite_store > Drinks,false,15
Menu > added_item > Menu > Appetizers,false,15
Menu >  > Menu,false,15
viewed_favourite_store > Appetizers > Menu > added_item,false,15
Quick_Reorder > Drinks,false,15
added_item > Appetizers > added_item > Appetizers > added_item,false,14
Menu > Appetizers > Kids Menu,false,14
viewed_favourite_store > Menu > Appetizers > added_item,false,14
Appetizers > Menu > Drinks,false,14
Menu > Family Value Bundles > Menu,false,14
Quick_Reorder > Menu > added_item > Menu > added_item,false,14
Other,false,14
viewed_favourite_store > Menu > Menu Extras > Menu,false,14
Appetizers > Menu > Dessert > Menu,false,14
Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item,false,14
viewed_favourite_store > Kids Menu > added_item,false,14
Appetizers > Menu Extras,false,14
Appetizers > Menu > Kids Menu > Menu,false,14
Menu > Sauces & Sides > Menu > Appetizers > Menu,false,14
Sauces & Sides > Menu > added_item,false,13
viewed_favourite_store > Menu > added_item > Sauces & Sides,false,13
Family Value Bundles > Appetizers,false,13
Drinks > Dessert,false,13
Kids Menu > added_item > Menu > added_item,false,13
Menu > Appetizers > added_item > Menu > added_item,false,13
viewed_favourite_store > Appetizers > Sauces & Sides,false,13
viewed_favourite_store > Appetizers > viewed_favourite_store > Appetizers,false,13
Drinks > Menu > Drinks,false,13
Appetizers > added_item > Menu > added_item > Appetizers > added_item,false,13
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Appetizers > added_item,false,13
viewed_favourite_store > Drinks > Appetizers,false,13
Appetizers > Kids Menu > Menu,false,13
Quick_Reorder > viewed_favourite_store > added_item,false,13
Dessert > Menu > Appetizers,false,13
Appetizers > added_item > Menu > Appetizers > added_item,false,12
Appetizers > added_item > Dessert > added_item,false,12
Menu > Appetizers > Drinks,false,12
viewed_favourite_store > Appetizers > Kids Menu,false,12
Menu > Appetizers > Dessert,false,12
Drinks > added_item > Drinks,false,12
viewed_favourite_store > added_item > viewed_favourite_store,false,12
Menu > added_item > Menu > added_item > Appetizers,false,12
Appetizers > Menu > added_item > Appetizers > added_item,false,12
Menu > Kids Menu > Appetizers,false,12
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu,false,12
Menu > Appetizers > Menu > Appetizers > Menu,false,12
Family Value Bundles > Appetizers > Menu,false,12
Quick_Reorder > viewed_favourite_store > Menu > Appetizers,false,12
Menu Extras > Appetizers,false,12
Menu > added_item > Menu > Appetizers > Menu,false,12
Appetizers > Menu > ,false,12
Quick_Reorder > viewed_favourite_store > Menu > Appetizers > Menu,false,12
viewed_favourite_store > Menu > Appetizers > Sauces & Sides,false,11
added_item > Kids Menu,false,11
Quick_Reorder > Dessert,false,11
Menu > Appetizers > Sauces & Sides,false,11
Menu > Dessert > Appetizers,false,11
Appetizers > Menu > Dessert > Sauces & Sides,false,11
Menu > added_item > Menu > added_item > Drinks > added_item,false,11
Appetizers > added_item > Appetizers > added_item > Menu,false,11
viewed_favourite_store > Appetizers > Menu > Appetizers > Menu,false,11
Menu > Drinks > Appetizers,false,11
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Appetizers > added_item,false,11
viewed_favourite_store > Menu > Sauces & Sides > Appetizers,false,11
viewed_favourite_store > Menu > Drinks > Menu,false,11
added_item > Kids Menu > added_item,false,11
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu > added_item,false,11
Menu > added_item > Kids Menu,false,11
viewed_favourite_store > Dessert > Appetizers,false,11
viewed_favourite_store > Menu Extras > Menu,false,10
viewed_favourite_store > Menu > added_item > Kids Menu,false,10
viewed_favourite_store > Menu > added_item > viewed_favourite_store,false,10
Family Value Bundles > Menu > Appetizers,false,10
viewed_favourite_store > Family Value Bundles > Menu,false,10
Menu > added_item > Appetizers > added_item > Menu,false,10
Sauces & Sides > Menu > Appetizers > Menu,false,10
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu,false,10
Menu > Quick_Reorder,false,10
viewed_favourite_store > Menu > added_item > Sauces & Sides > added_item,false,10
Dessert > Appetizers,false,10
viewed_favourite_store > Sauces & Sides > Appetizers,false,10
 > added_item,false,10
Drinks > ,false,10
Appetizers > added_item > Kids Menu > added_item,false,10
Quick_Reorder > viewed_favourite_store > Kids Menu,false,10
viewed_favourite_store > Appetizers > Menu > Kids Menu,false,10
Kids Menu > added_item > Menu,false,10
added_item > Menu > Appetizers > added_item,false,9
viewed_favourite_store > Menu > Menu Extras,false,9
Menu Extras > Menu > Appetizers,false,9
viewed_favourite_store > Appetizers > Menu > Sauces & Sides > Menu,false,9
viewed_favourite_store > Quick_Reorder > viewed_favourite_store,false,9
viewed_favourite_store > Appetizers > Dessert,false,9
Menu > Menu Extras > Menu > Appetizers,false,9
viewed_favourite_store > Family Value Bundles > Appetizers,false,9
viewed_favourite_store > Kids Menu > Appetizers > Menu,false,9
Appetizers > Menu > Menu Extras > Menu,false,9
added_item > Menu > added_item > Appetizers > added_item,false,9
Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item,false,9
viewed_favourite_store > Menu > Family Value Bundles,false,9
Appetizers > Quick_Reorder,false,9
Menu > added_item > Appetizers > Menu > added_item,false,9
Appetizers > added_item > Appetizers > added_item > Menu > added_item > Menu > added_item,false,9
Appetizers > Drinks > Menu,false,9
viewed_favourite_store > Menu > Family Value Bundles > Menu,false,9
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu > added_item,false,9
Menu > added_item > Menu > added_item > Kids Menu > added_item,false,9
Appetizers > Menu > added_item > Menu > added_item,false,9
Quick_Reorder > viewed_favourite_store > Appetizers > added_item,false,9
Menu > added_item > Sauces & Sides > added_item > Sauces & Sides > added_item,false,9
Appetizers > Menu > Sauces & Sides > Appetizers,false,9
Menu > added_item > Sauces & Sides > Menu,false,8
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu,false,8
viewed_favourite_store > Drinks > Appetizers > Menu,false,8
Quick_Reorder > Menu > Appetizers > Menu,false,8
Appetizers > Menu > Drinks > Menu,false,8
viewed_favourite_store > Appetizers > viewed_favourite_store,false,8
Menu > Appetizers > Menu > Drinks,false,8
viewed_favourite_store > Menu > added_item > Menu > added_item > viewed_favourite_store,false,8
